,technique_id,x_mitre_is_subtechnique,technique,tactic,platform,data_source,data_component
0,T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],File,File Creation
1,T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],Process,Process Creation
2,T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],File,File Metadata
3,T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],Command,Command Execution
4,T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",Command,Command Execution
5,T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",Process,Process Metadata
6,T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",Process,Process Creation
7,T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],Process,Process Creation
8,T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],File,File Modification
9,T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],File,File Creation
10,T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",Script,Script Execution
11,T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",Process,OS API Execution
12,T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",Module,Module Load
13,T1619,False,Cloud Storage Object Discovery,['discovery'],['IaaS'],Cloud Storage,Cloud Storage Enumeration
14,T1619,False,Cloud Storage Object Discovery,['discovery'],['IaaS'],Cloud Storage,Cloud Storage Access
15,T1218.014,True,MMC,['defense-evasion'],['Windows'],Process,Process Creation
16,T1218.014,True,MMC,['defense-evasion'],['Windows'],File,File Creation
17,T1218.014,True,MMC,['defense-evasion'],['Windows'],Command,Command Execution
18,T1218.013,True,Mavinject,['defense-evasion'],['Windows'],Process,Process Creation
19,T1218.013,True,Mavinject,['defense-evasion'],['Windows'],Command,Command Execution
20,T1614.001,True,System Language Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",Windows Registry,Windows Registry Key Access
21,T1614.001,True,System Language Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",Process,Process Creation
22,T1614.001,True,System Language Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",Process,OS API Execution
23,T1614.001,True,System Language Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",Command,Command Execution
24,T1615,False,Group Policy Discovery,['discovery'],['Windows'],Network Traffic,Network Traffic Content
25,T1615,False,Group Policy Discovery,['discovery'],['Windows'],Active Directory,Active Directory Object Access
26,T1615,False,Group Policy Discovery,['discovery'],['Windows'],Script,Script Execution
27,T1615,False,Group Policy Discovery,['discovery'],['Windows'],Command,Command Execution
28,T1615,False,Group Policy Discovery,['discovery'],['Windows'],Process,Process Creation
29,T1036.007,True,Double File Extension,['defense-evasion'],['Windows'],File,File Creation
30,T1036.007,True,Double File Extension,['defense-evasion'],['Windows'],File,File Metadata
31,T1562.009,True,Safe Mode Boot,['defense-evasion'],['Windows'],Process,Process Creation
32,T1562.009,True,Safe Mode Boot,['defense-evasion'],['Windows'],Windows Registry,Windows Registry Key Modification
